image,host_psnr,host_ssim,host_ber,wm_psnr,wm_ssim,wm_ber,restored_psnr,restored_ssim,restored_ber
aeriel,40.73967718310249,0.9911891738518422,0.2552642822265625,,1.0,0.0,,1.0,0.0
boat,34.30482994343422,0.9669795454231171,0.3351554870605469,,1.0,0.0,,1.0,0.0
boat_gray,34.30482994343422,0.9669795454231171,0.3351554870605469,,1.0,0.0,,1.0,0.0
bridge,32.91956189691231,0.9667804323406194,0.8872413635253906,21.80996183808787,0.7965596063417417,0.006591796875,39.58658388574015,0.9835095124110518,0.8978004455566406
castle,29.06863285685871,0.9616341197837271,0.9064178466796875,22.23193863603242,0.8208853495540013,0.0059814453125,36.360985992974186,0.9937221016597391,0.8738021850585938
clock,41.76024476362084,0.99214296703244,0.12808609008789062,,1.0,0.0,,1.0,0.0
eye1,26.559942641414697,0.829453837081429,0.99505615234375,22.506321119501816,0.8060796607638527,0.005615234375,26.654943569107058,0.8377325948001713,0.9951248168945312
eye2,26.559942641414697,0.829453837081429,0.99505615234375,22.506321119501816,0.8060796607638527,0.005615234375,26.654943569107058,0.8377325948001713,0.9951248168945312
eye3,27.460096439457786,0.9637247515448568,0.9578514099121094,15.974195981748379,0.4382490530330483,0.0252685546875,27.493101187451273,0.9680282791568016,0.9559402465820312
eye4,28.960102151545534,0.8082924572610439,0.9945755004882812,42.14419939295737,0.9968468952895445,6.103515625e-05,29.01562472373478,0.8126776801219099,0.9945640563964844
eye5,25.15660028345974,0.8093678985746732,0.9976387023925781,39.133899436317556,0.9993805295268815,0.0001220703125,25.191821240175756,0.8138183064694523,0.9975166320800781
flower,29.89255341143437,0.9096988641814071,0.7962226867675781,24.901440696949475,0.8801933694906963,0.00323486328125,32.04218440511879,0.9393264467402788,0.699676513671875
road,35.2815805848092,0.9179589130673471,0.7907333374023438,31.35238693248112,0.977398278762962,0.000732421875,36.55904905813312,0.9238638528410877,0.771759033203125
sunflower,29.211839279473672,0.9261786738816346,0.9372787475585938,16.691128228299124,0.5162887368704724,0.02142333984375,30.24010148284832,0.9414360527348908,0.9343757629394531
tank,39.25307221167111,0.9755720766267326,0.3245391845703125,,1.0,0.0,,1.0,0.0
truck,40.8615163423123,0.9851075670452086,0.3094902038574219,,1.0,0.0,,1.0,0.0
